"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical"
,World,"+534,417","+1,428","+499,564","41,412,540"
1.0,USA,"+12,904",+42,"+7,328","1,213,068"
2.0,India,"+2,109",+34,,"17,154"
3.0,Brazil,"+6,957",,,"329,638"
4.0,France,"+80,571",+75,"+102,120","2,247,050"
5.0,Germany,"+89,665",+153,"+121,400","2,795,409"
6.0,UK,,,,"1,045,782"
7.0,Russia,"+8,829",+171,"+13,030","289,837"
8.0,S. Korea,"+75,414",+151,,
9.0,Italy,"+70,520",+143,"+61,778","1,232,229"
10.0,Turkey,"+2,654",+16,"+17,524","63,119"
11.0,Spain,,,,"420,788"
12.0,Vietnam,"+10,365",+6,"+2,229","1,430,191"
13.0,Argentina,,,,"36,580"
14.0,Netherlands,,,,"408,963"
15.0,Japan,"+42,808",+56,"+50,424","470,494"
16.0,Iran,+608,+22,"+3,021","110,569"
17.0,Colombia,,,,"26,895"
18.0,Indonesia,+522,+27,"+2,082","19,450"
19.0,Poland,"+1,240",+22,+68,"540,564"
20.0,Mexico,"+1,077",+27,+882,"375,414"
21.0,Australia,"+41,253",+43,,"413,375"
22.0,Ukraine,,,,
23.0,Malaysia,,,,"85,403"
24.0,Thailand,"+20,052",+129,"+22,361","188,339"
25.0,Austria,"+6,536",+19,"+11,753","101,451"
26.0,Israel,"+6,649",,,"34,532"
27.0,Belgium,,,,"274,177"
28.0,Czechia,"+2,117",+4,"+3,695","19,789"
29.0,Portugal,,,,
30.0,South Africa,"+4,230",+12,+290,"26,819"
31.0,Canada,"+3,820",+24,"+3,274","230,726"
32.0,Philippines,+210,+61,"+1,231","14,696"
33.0,Switzerland,,,"+22,469","207,319"
34.0,Peru,,,,
35.0,Chile,"+2,671",+24,"+9,388","118,292"
36.0,Greece,"+4,175",+28,"+6,895","96,973"
37.0,Denmark,"+1,214",+12,"+2,303","23,865"
38.0,Romania,+566,+8,,"215,743"
39.0,Sweden,,,"+1,263","16,646"
40.0,Iraq,,,,"3,250"
41.0,Serbia,+628,+5,"+1,538","17,405"
42.0,Bangladesh,+26,,+315,"30,274"
43.0,Hungary,,,,"68,288"
44.0,Slovakia,"+1,452",+12,"+3,091","25,268"
45.0,Jordan,,,,"1,227"
46.0,Georgia,+87,+2,+259,"1,816"
47.0,Pakistan,+82,+1,+65,"3,384"
48.0,Ireland,,,"+8,866","95,738"
49.0,Norway,,,,
50.0,Kazakhstan,+7,,+11,812
51.0,Hong Kong,+523,+9,,
52.0,Singapore,"+2,709",+1,,"69,412"
53.0,Morocco,+56,+1,+46,451
54.0,Bulgaria,,,,"156,264"
55.0,Croatia,+894,+6,+649,"4,568"
56.0,Cuba,+266,,+310,"1,360"
57.0,Lebanon,+93,+2,+409,"6,491"
58.0,Lithuania,+713,+5,"+1,772","29,049"
59.0,Tunisia,,,,
60.0,Slovenia,"+1,043",+7,"+1,844","16,893"
61.0,Finland,,,,"950,834"
62.0,Nepal,+18,,+17,283
63.0,Belarus,+528,+2,,"41,976"
64.0,Bolivia,,,,"27,812"
65.0,UAE,+261,,+372,"15,164"
66.0,Uruguay,,,,"1,924"
67.0,New Zealand,"+7,984",+17,"+5,796","59,662"
68.0,Ecuador,,,,
69.0,Costa Rica,,,,"9,886"
70.0,Guatemala,,,,"2,660"
71.0,Latvia,+696,+4,+951,"8,573"
72.0,Azerbaijan,+19,,+13,135
73.0,Panama,,,,"3,328"
74.0,Saudi Arabia,+91,+1,+223,"3,789"
75.0,Sri Lanka,+40,+2,+3,"4,055"
76.0,Paraguay,,,,"5,566"
77.0,Kuwait,,,,911
78.0,Myanmar,+19,,+26,"1,690"
79.0,Palestine,,,,564
80.0,Dominican Republic,,,,281
81.0,Estonia,+355,,+876,"60,834"
82.0,Bahrain,,,,"3,584"
83.0,Venezuela,,,,"1,171"
84.0,Moldova,,,,"1,355"
85.0,Egypt,,,,"48,850"
86.0,Libya,,,,"4,533"
87.0,Cyprus,"+6,115",+18,,"345,100"
88.0,Ethiopia,+12,,+304,"7,940"
89.0,Mongolia,+30,,,"154,117"
90.0,Armenia,+8,,+13,"3,652"
91.0,Honduras,,,,"280,283"
92.0,Oman,,,,683
93.0,Bosnia and Herzegovina,,,,"168,725"
94.0,Réunion,,,,"17,948"
95.0,Qatar,+77,,+117,844
96.0,Kenya,+8,,+7,138
97.0,Zambia,,,,935
98.0,North Macedonia,,,,727
99.0,Botswana,,,,145
100.0,Albania,+54,,+17,426
101.0,Algeria,,,+1,"80,543"
102.0,Nigeria,,,,"2,652"
103.0,Zimbabwe,,,,692
104.0,Uzbekistan,+24,,+35,347
105.0,Montenegro,+70,+2,+88,609
106.0,Luxembourg,,,,"11,407"
107.0,Mozambique,,,,47
108.0,Laos,+619,+2,,"196,501"
109.0,Kyrgyzstan,,,+5,"1,616"
110.0,Iceland,,,,"108,177"
111.0,Maldives,,,,"14,898"
112.0,Afghanistan,+10,+1,+25,"9,259"
113.0,Uganda,,,,"60,268"
114.0,El Salvador,,,,"7,300"
115.0,Ghana,,,,24
116.0,Namibia,,,,595
117.0,Martinique,,,,"146,497"
118.0,Trinidad and Tobago,,,,"6,705"
119.0,Brunei ,+141,,+201,"1,072"
120.0,Guadeloupe,,,,"137,026"
121.0,Cambodia,+28,,+16,248
122.0,Rwanda,,,,"82,784"
123.0,Jamaica,,,,"43,625"
124.0,Cameroon,,,,62
125.0,Angola,,,,145
126.0,Malta,+231,+3,+590,"5,601"
127.0,DRC,,,,"34,756"
128.0,Senegal,+2,+1,+2,17
129.0,Malawi,+4,,+4,"1,176"
130.0,Ivory Coast,,,,25
131.0,French Guiana,,,,"68,774"
132.0,Suriname,,,,"28,579"
133.0,Channel Islands,,,,"1,384"
134.0,French Polynesia,,,,
135.0,Eswatini,+31,+1,+34,123
136.0,Barbados,+446,+1,,"3,443"
137.0,Fiji,,,,985
138.0,Madagascar,,,,"3,360"
139.0,Guyana,,,,91
140.0,Sudan,,,,
141.0,New Caledonia,,,,81
142.0,Mauritania,,,,8
143.0,Belize,,,,209
144.0,Bhutan,+737,,+695,"4,546"
145.0,Cabo Verde,+3,,+1,65
146.0,Syria,,,,564
147.0,Taiwan,"+4,204",,+278,"26,988"
148.0,Gabon,,,,11
149.0,Papua New Guinea,,,,58
150.0,Seychelles,,,,654
151.0,Curaçao,,,,581
152.0,Andorra,,,,517
153.0,Burundi,+34,,,"38,076"
154.0,Mauritius,,,,"1,010"
155.0,Mayotte,,,,"33,887"
156.0,Togo,+4,,,25
157.0,Guinea,,,,43
158.0,Faeroe Islands,,,,"26,937"
159.0,Aruba,,,,126
160.0,Tanzania,,,,
161.0,Bahamas,,,,352
162.0,Lesotho,,,,"8,058"
163.0,Mali,+11,,+1,201
164.0,Haiti,,,,416
165.0,Isle of Man,,,,"1,535"
166.0,Benin,,,,"1,283"
167.0,Somalia,,,,"11,953"
168.0,Congo,,,,"3,516"
169.0,Saint Lucia,,,,112
170.0,Timor-Leste,,,,16
171.0,Cayman Islands,,,,"13,176"
172.0,Burkina Faso,,,,32
173.0,Nicaragua,,,,"14,041"
174.0,Gibraltar,,+1,,"1,025"
175.0,South Sudan,,,,"3,770"
177.0,Liechtenstein,+27,,+50,206
178.0,San Marino,,,,364
179.0,Equatorial Guinea,,,,26
180.0,Djibouti,,,,11
181.0,CAR,,,,"7,677"
182.0,Grenada,,,,240
183.0,Bermuda,,,,293
184.0,Solomon Islands,,,,"1,104"
185.0,Dominica,,,,22
186.0,Gambia,,,,39
187.0,Greenland,,,,"9,189"
188.0,Yemen,,,,669
189.0,Monaco,+27,,+34,188
190.0,Saint Martin,,,,"8,817"
191.0,Sint Maarten,,,,59
192.0,Eritrea,,,,1
193.0,Caribbean Netherlands,,,,166
194.0,Tonga,,,,"1,236"
195.0,Niger,+6,,+9,98
196.0,Guinea-Bissau,,,,538
197.0,Comoros,,,,7
198.0,Sierra Leone,,,,
199.0,Antigua and Barbuda,,,,34
200.0,Liberia,,,,"1,391"
201.0,Chad,,,,"2,329"
202.0,Samoa,,,,"5,567"
203.0,Vanuatu,+140,,+92,790
204.0,St. Vincent Grenadines,,,,24
205.0,British Virgin Islands,,,,
206.0,Sao Tome and Principe,,,,5
207.0,Turks and Caicos,,,,43
208.0,Saint Kitts and Nevis,,,,1
209.0,Cook Islands,,,,636
210.0,St. Barth,,,,
211.0,Palau,,,,511
212.0,Kiribati,,,,466
213.0,Anguilla,,,,6
214.0,Saint Pierre Miquelon,,,,191
216.0,Wallis and Futuna,,,,9
217.0,Montserrat,,,,7
218.0,Falkland Islands,,,,
221.0,Marshall Islands,,,,8
224.0,Niue,,,,1
228.0,China,"+2,988",+12,"+3,127","30,662"
,Total:,"+534,417","+1,428","+499,564","41,412,540"
